what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335377333984
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335377364561
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335377369388
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1335377371783
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1335377374767
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.smartEnter",1335377399177
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1335377400198
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1335377406911
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1335377420819
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335377439887
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335377448809
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1335377450613
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1335377465969
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1335377474000
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1335377516234
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335377532872
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335377534684
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335377582342
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335377820691
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335377857904
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335377871677
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1335377907610
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1335377914034
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335377949372
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335377954770
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1335378054153
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335378088011
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335378089365
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335378260497
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335378294436
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335378305121
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335378311832
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335378335383
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335378339458
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1335378340086
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1335378407929
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1335378412970
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335378434313
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335378449168
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1335378451680
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1335378495267
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1335378511789
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1335378518937
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1335378538583
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335378546456
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335378658453
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1335378669305
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335378683319
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335378735261
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335378736621
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335378740641
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335378912738
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335378918961
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335378954224
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335378964815
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335378967593
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335378968896
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335378968957
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335378971710
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1335378971860
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1335379002134
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1335379007264
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335379011742
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335379125722
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335379140117
